Pin,Domain,Register,Field,Size,Base,ExpectedData,LowLimit,HighLimit,StringData,ItuffToken,ItuffDescriptor,ExitPort,StorageToken,Equation
CPU_OBS_06,ATOM0,DIGPRB0,LVRS_DISABLE,1,-,-,-,-,-,LVRS_DISABLE,-,-,-,-
CPU_OBS_06,ATOM0,DIGPRB0,POD_VDGS,1,-,-,-,-,-,POD_VDGS,-,-,-,-
CPU_OBS_06,ATOM0,DIGPRB0,POD_VAGS,1,-,-,-,-,-,POD_VAGS,-,-,-,-
CPU_OBS_06,ATOM1,DIGPRB0,LVRS_DISABLE,1,-,-,-,-,-,LVRS_DISABLE,-,-,-,-
CPU_OBS_06,ATOM1,DIGPRB0,POD_VDGS,1,-,-,-,-,-,POD_VDGS,-,-,-,-
CPU_OBS_06,ATOM1,DIGPRB0,POD_VAGS,1,-,-,-,-,-,POD_VAGS,-,-,-,-
CPU_OBS_06,CORE0P,DIGPRB0,LVRS_DISABLE,1,-,-,-,-,-,LVRS_DISABLE,-,-,-,-
CPU_OBS_06,CORE0P,DIGPRB0,POD_VDGS,1,-,-,-,-,-,POD_VDGS,-,-,-,-
CPU_OBS_06,CORE0P,DIGPRB0,POD_VAGS,1,-,-,-,-,-,POD_VAGS,-,-,-,-
CPU_OBS_06,CORE0S,DIGPRB0,LVRS_DISABLE,1,-,-,-,-,-,LVRS_DISABLE,-,-,-,-
CPU_OBS_06,CORE0S,DIGPRB0,POD_VDGS,1,-,-,-,-,-,POD_VDGS,-,-,-,-
CPU_OBS_06,CORE0S,DIGPRB0,POD_VAGS,1,-,-,-,-,-,POD_VAGS,-,-,-,-
CPU_OBS_06,CORE1P,DIGPRB0,LVRS_DISABLE,1,-,-,-,-,-,LVRS_DISABLE,-,-,-,-
CPU_OBS_06,CORE1P,DIGPRB0,POD_VDGS,1,-,-,-,-,-,POD_VDGS,-,-,-,-
CPU_OBS_06,CORE1P,DIGPRB0,POD_VAGS,1,-,-,-,-,-,POD_VAGS,-,-,-,-
CPU_OBS_06,CORE1S,DIGPRB0,LVRS_DISABLE,1,-,-,-,-,-,LVRS_DISABLE,-,-,-,-
CPU_OBS_06,CORE1S,DIGPRB0,POD_VDGS,1,-,-,-,-,-,POD_VDGS,-,-,-,-
CPU_OBS_06,CORE1S,DIGPRB0,POD_VAGS,1,-,-,-,-,-,POD_VAGS,-,-,-,-
CPU_OBS_06,RINGPRIM,DIGPRB0,LVRS_DISABLE,1,-,-,-,-,-,LVRS_DISABLE,-,-,-,-
CPU_OBS_06,RINGPRIM,DIGPRB0,POD_VDGS,1,-,-,-,-,-,POD_VDGS,-,-,-,-
CPU_OBS_06,RINGPRIM,DIGPRB0,POD_VAGS,1,-,-,-,-,-,POD_VAGS,-,-,-,-
CPU_OBS_06,RINGSEC0,DIGPRB0,LVRS_DISABLE,1,-,-,-,-,-,LVRS_DISABLE,-,-,-,-
CPU_OBS_06,RINGSEC0,DIGPRB0,POD_VDGS,1,-,-,-,-,-,POD_VDGS,-,-,-,-
CPU_OBS_06,RINGSEC0,DIGPRB0,POD_VAGS,1,-,-,-,-,-,POD_VAGS,-,-,-,-
